Product Name,Total_Revenue,Total_Profit,Average_discount
"""While you Were Out"" Message Book, One Form per Page",₹68.26,₹10.39,0.13333333333333333
"#10 Gummed Flap White Envelopes, 100/Box",₹125.55,₹16.77,0.1
#10 Self-Seal White Envelopes,₹463.56,₹52.12,0.05
"#10 White Business Envelopes,4 1/8 x 9 1/2","₹2,820.60",₹223.14,0.05714285714285715
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes","₹1,366.94",₹115.28,0.08
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",₹437.01,₹64.86,0.07500000000000001
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","₹1,271.79",₹63.75,0.1
#6 3/4 Gummed Flap White Envelopes,₹198.00,₹24.95,0.2
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","₹8,617.82",₹578.68,0.06666666666666667
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",₹270.48,₹22.71,0.1
12 Colored Short Pencils,₹50.44,₹3.02,0.13333333333333333
12-1/2 Diameter Round Wall Clock,"₹3,588.41",₹91.11,0.27499999999999997
14-7/8 x 11 Blue Bar Computer Printout Paper,"₹1,076.10",₹172.94,0.1
2300 Heavy-Duty Transfer File Systems by Perma,"₹1,543.76",₹20.98,0.1
"24 Capacity Maxi Data Binder Racks, Pearl","₹20,718.12",₹536.90,0.1
24-Hour Round Wall Clock,"₹3,140.86",₹180.02,0.06666666666666667
3-ring staple pack,₹206.80,₹16.69,0.10000000000000002
3.6 Cubic Foot Counter Height Office Refrigerator,"₹13,198.98",₹-872.08,0.52
36X48 HARDFLOOR CHAIRMAT,"₹1,938.55",₹-40.49,0.2333333333333333
"3D Systems Cube Printer, 2nd Generation, Magenta","₹84,499.35","₹3,717.97",0.0
"3D Systems Cube Printer, 2nd Generation, White","₹3,639.97",₹-468.00,0.35
3M Hangers With Command Adhesive,₹586.08,₹36.00,0.15
3M Office Air Cleaner,"₹1,350.96",₹90.93,0.0
3M Organizer Strips,₹341.28,₹10.15,0.3857142857142857
3M Polarizing Light Filter Sleeves,₹947.42,₹75.35,0.2
"3M Polarizing Task Lamp with Clamp Arm, Light Gray","₹10,958.40",₹569.84,0.0
